geo_id,bunkers_total_useful_demand_ships_demand,bunkers_total_useful_demand_planes_demand
GM1680,0,0
GM0358,0,0
GM0197,0,0
GM0059,0,0
GM0482,0,0
GM0613,0,0
GM0361,0,0
GM0141,0,0
GM0034,0,0
GM0484,0,0
GM1723,0,0
GM1959,0,0
GM0060,0,0
GM0307,0,0
GM0362,0,0
GM0363,0,0
GM0200,0,0
GM0202,0,0
GM0106,0,0
GM0743,0,0
GM0744,0,0
GM0308,0,0
GM0489,0,0
GM0203,0,0
GM0888,0,0
GM1954,0,0
GM0370,0,0
GM0889,0,0
GM1945,0,0
GM1724,0,0
GM0893,0,0
GM0373,0,0
GM0748,0,0
GM1859,0,0
GM1721,0,0
GM0753,0,0
GM0209,0,0
GM0375,0,0
GM0310,0,0
GM1728,0,0
GM0376,0,0
GM0377,0,0
GM1901,0,0
GM0755,0,0
GM1681,0,0
GM0147,0,0
GM0654,0,0
GM0756,0,0
GM0757,0,0
GM0758,0,0
GM0501,0,0
GM1876,0,0
GM0213,0,0
GM0899,0,0
GM0312,0,0
GM0313,0,0
GM0214,0,0
GM0502,0,0
GM0383,0,0
GM0109,0,0
GM1706,0,0
GM1684,0,0
GM0216,0,0
GM0148,0,0
GM1891,0,0
GM0503,0,0
GM0762,0,0
GM0150,0,0
GM0384,0,0
GM1774,0,0
GM0221,0,0
GM0222,0,0
GM0766,0,0
GM0505,0,0
GM0498,0,0
GM1719,0,0
GM0303,0,0
GM0225,0,0
GM0226,0,0
GM1711,0,0
GM0385,0,0
GM0228,0,0
GM0317,0,0
GM0770,0,0
GM1903,0,0
GM0772,0,0
GM0230,0,0
GM0114,0,0
GM0388,0,0
GM0153,0,0
GM0232,0,0
GM0233,0,0
GM0777,0,0
GM1940,0,0
GM0779,0,0
GM1771,0,0
GM1652,0,0
GM0907,0,0
GM0784,0,0
GM1924,0,0
GM0664,0,0
GM0785,0,0
GM1942,0,0
GM0512,0,0
GM0513,0,0
GM0786,0,0
GM0518,0,0
GM0014,0,0
GM1729,0,0
GM0158,0,0
GM0392,0,0
GM0394,0,0
GM1655,0,0
