geo_id,bunkers_total_useful_demand_ships_demand,bunkers_total_useful_demand_planes_demand
GM0160,0,0
GM0243,0,0
GM0523,0,0
GM0072,0,0
GM0244,0,0
GM0396,0,0
GM0397,0,0
GM0246,0,0
GM0074,0,0
GM0398,0,0
GM0917,0,0
GM1658,0,0
GM0399,0,0
GM0400,0,0
GM0163,0,0
GM0530,0,0
GM0794,0,0
GM0531,0,0
GM0164,0,0
GM0796,0,0
GM0252,0,0
GM0797,0,0
GM0534,0,0
GM0798,0,0
GM0402,0,0
GM1963,0,0
GM1735,0,0
GM1966,0,0
GM1911,0,0
GM0118,0,0
GM0405,0,0
GM1507,0,0
GM0321,0,0
GM0406,0,0
GM0677,0,0
GM0353,0,0
GM1884,0,0
GM0166,0,0
GM0678,0,0
GM0537,0,0
GM0928,0,0
GM1598,0,0
GM0542,0,0
GM1931,0,0
GM1659,0,0
GM1685,0,0
GM0882,0,0
GM0415,0,0
GM0416,0,0
GM1621,0,0
GM0417,0,0
GM0080,0,0
GM0546,0,0
GM0547,0,0
GM1916,0,0
GM0995,0,0
GM1640,0,0
GM0327,0,0
GM1705,0,0
GM0553,0,0
GM0262,0,0
GM0809,0,0
GM0331,0,0
GM0168,0,0
GM0263,0,0
GM1641,0,0
GM0556,0,0
GM0935,0,0
GM0420,0,0
GM0938,0,0
GM1948,0,0
GM0119,0,0
GM0687,0,0
GM1842,0,0
GM1731,0,0
GM1952,0,0
GM0815,0,0
GM1709,0,0
GM1978,0,0
GM1955,0,0
GM0335,0,0
GM0944,0,0
GM1740,0,0
GM0946,0,0
GM0356,0,0
GM0569,0,0
GM0267,0,0
GM0268,0,0
GM1930,0,0
GM1970,0,0
GM1695,0,0
GM1699,0,0
GM0171,0,0
GM0575,0,0
GM0820,0,0
GM0302,0,0
GM0579,0,0
GM0823,0,0
GM0824,0,0
GM1895,0,0
GM0269,0,0
GM0173,0,0
GM1773,0,0
GM0175,0,0
GM1586,0,0
GM0826,0,0
GM0085,0,0
GM0431,0,0
GM0432,0,0
GM0086,0,0
GM0828,0,0
GM1509,0,0
GM0437,0,0
GM0589,0,0
GM1734,0,0
GM0590,0,0
GM1894,0,0
GM0765,0,0
GM1926,0,0
GM0439,0,0
GM0273,0,0
GM0177,0,0
GM0703,0,0
GM0274,0,0
GM0339,0,0
GM1667,0,0
GM0275,0,0
GM0340,0,0
GM0597,0,0
GM1742,0,0
GM0603,0,0
GM1669,0,0
GM0957,0,0
GM0736,0,0
GM1674,0,0
GM0599,0,0
GM0277,0,0
GM0840,0,0
GM0441,0,0
GM0279,0,0
GM0606,0,0
GM0088,0,0
GM1676,0,0
GM0965,0,0
GM1702,0,0
GM0845,0,0
GM1883,0,0
GM0610,0,0
GM1714,0,0
GM0090,0,0
GM0342,0,0
GM0847,0,0
GM0848,0,0
GM0037,0,0
GM0180,0,0
GM0532,0,0
GM0851,0,0
GM1708,0,0
GM0971,0,0
GM1904,0,0
GM1900,0,0
GM0715,0,0
GM0093,0,0
GM0448,0,0
GM1525,0,0
GM0716,0,0
GM0281,0,0
GM0855,0,0
GM0183,0,0
GM1700,0,0
GM1730,0,0
GM0737,0,0
GM0856,0,0
GM0450,0,0
GM0451,0,0
GM0184,0,0
GM0344,0,0
GM1581,0,0
GM0981,0,0
GM0994,0,0
GM0858,0,0
GM0047,0,0
GM0345,0,0
GM0717,0,0
GM0861,0,0
GM0453,0,0
GM0983,0,0
GM0984,0,0
GM1961,0,0
GM0622,0,0
GM0096,0,0
GM0718,0,0
GM0986,0,0
GM0626,0,0
GM0285,0,0
GM0865,0,0
GM1949,0,0
GM0866,0,0
GM0867,0,0
GM0627,0,0
GM0289,0,0
GM0629,0,0
GM0852,0,0
GM0988,0,0
GM0457,0,0
GM1960,0,0
GM0668,0,0
GM1969,0,0
GM1701,0,0
GM0293,0,0
GM1950,0,0
GM1783,0,0
GM0098,0,0
GM0614,0,0
GM0189,0,0
GM0296,0,0
GM1696,0,0
GM0352,0,0
GM0294,0,0
GM0873,0,0
GM0632,0,0
GM1690,0,0
GM0880,0,0
GM0351,0,0
GM0479,0,0
GM0297,0,0
GM0473,0,0
GM0050,0,0
GM0355,0,0
GM0299,0,0
GM0637,0,0
GM0638,0,0
GM1892,0,0
GM0879,0,0
GM0301,0,0
GM1896,0,0
GM0642,0,0
GM0193,0,0
