geo_id,present_number_of_apartments_before_1945,present_number_of_apartments_1945_1964,present_number_of_apartments_1965_1984,present_number_of_apartments_1985_2004,present_number_of_apartments_2005_present,present_number_of_detached_houses_before_1945,present_number_of_detached_houses_1945_1964,present_number_of_detached_houses_1965_1984,present_number_of_detached_houses_1985_2004,present_number_of_detached_houses_2005_present,present_number_of_semi_detached_houses_before_1945,present_number_of_semi_detached_houses_1945_1964,present_number_of_semi_detached_houses_1965_1984,present_number_of_semi_detached_houses_1985_2004,present_number_of_semi_detached_houses_2005_present,present_number_of_terraced_houses_before_1945,present_number_of_terraced_houses_1945_1964,present_number_of_terraced_houses_1965_1984,present_number_of_terraced_houses_1985_2004,present_number_of_terraced_houses_2005_present,typical_useful_demand_for_space_heating_semi_detached_houses_future,typical_useful_demand_for_space_heating_semi_detached_houses_2005_present,typical_useful_demand_for_space_heating_semi_detached_houses_1985_2004,typical_useful_demand_for_space_heating_semi_detached_houses_1965_1984,typical_useful_demand_for_space_heating_semi_detached_houses_1945_1964,typical_useful_demand_for_space_heating_semi_detached_houses_before_1945,present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating
EL,49430,223846,428819,371145,10109,118357,328026,608470,538729,70330,118357,328026,608470,538729,70330,140600,158204,345104,294590,237695,156.8,156.8,116.8,106.07,109.22,105.78,0.00353,0.0165,0.03173,0.02535,0.0002,0.03275,0.09373,0.16885,0.16462,0.02885,0.0216,0.06181,0.11134,0.10855,0.01902,0.01549,0.01809,0.03961,0.03121,0.00717
HU,77091,66698,83851,137462,93059,364806,284856,422872,346410,149675,364806,284856,422872,346410,149675,6257,5504,117463,203813,111600,124.38,124.38,141.72,178.5,204.07,243.06,0.00487,0.00595,0.00539,0.00437,0.00142,0.17546,0.11503,0.14937,0.09715,0.03684,0.1157,0.07585,0.09849,0.06406,0.02429,0.00061,0.00076,0.01171,0.01005,0.00263
IE,18353,15342,25008,28129,26463,151886,120660,213037,261141,167255,151886,120660,213037,261141,167255,11949,13203,41421,38019,13692,70.15,70.15,85.43,112.81,118.44,131.12,0.00651,0.00563,0.00721,0.0038,0.00124,0.12147,0.08717,0.14658,0.13607,0.07156,0.0801,0.05748,0.09666,0.08973,0.04719,0.00658,0.00751,0.01854,0.00797,0.001
IT,1642075,1005062,1929623,1192868,665813,785454,484582,1003385,638652,342482,785454,484582,1003385,638652,342482,2038169,1729046,3710831,4606238,3289974,111.52,111.52,135.83,185.9,206,147.35,0.03633,0.02277,0.04225,0.02063,0.00915,0.05538,0.04777,0.08926,0.04151,0.01828,0.03652,0.0315,0.05886,0.02737,0.01205,0.06996,0.06076,0.126,0.12354,0.07011
LV,7277,20498,29859,40184,17335,61671,6536,12216,18784,6046,61671,6536,12216,18784,6046,75989,75178,160945,194382,100129,118.46,118.46,205.52,288.76,289.82,308.69,0.00485,0.01218,0.01709,0.01776,0.0063,0.18235,0.01814,0.03379,0.03698,0.00686,0.12024,0.01196,0.02228,0.02438,0.00452,0.07843,0.06928,0.14287,0.13327,0.05647
LT,32693,47982,84025,58845,24876,84086,77511,119408,100648,55491,84086,77511,119408,100648,55491,10141,14618,27593,49772,43298,72.51,72.51,111,192.78,264.86,299.05,0.01791,0.02033,0.02365,0.01074,0.00315,0.1574,0.1285,0.14409,0.06993,0.02519,0.10379,0.08474,0.09501,0.04611,0.01661,0.00862,0.0096,0.01205,0.01408,0.0085
LU,10745,8041,5828,5308,4593,22789,12347,15963,11847,12822,22789,12347,15963,11847,12822,4045,3691,13373,16442,5182,63.15,63.15,132.29,231.5,337.41,344.36,0.02275,0.01771,0.00873,0.00406,0.00077,0.22702,0.12051,0.1069,0.04534,0.02342,0.1497,0.07947,0.07049,0.0299,0.01545,0.01328,0.01261,0.03106,0.01949,0.00134
MT,4954,3862,6043,6401,2202,24504,17384,27356,27686,7645,24504,17384,27356,27686,7645,565,682,773,2384,5588,17.85,17.85,24.31,30.02,34.33,34.55,0.00497,0.00421,0.00535,0.00478,0.00142,0.16062,0.11323,0.15581,0.12769,0.02589,0.10592,0.07466,0.10274,0.0842,0.01707,0.00088,0.00115,0.00106,0.00276,0.00559
PL,392733,362655,550747,685267,456017,840585,865498,1260882,1477868,845316,840585,865498,1260882,1477868,845316,237980,56196,204776,314698,811717,121.9,121.9,153.47,204.46,253.77,312.35,0.01303,0.007,0.00846,0.00893,0.00524,0.13572,0.11353,0.13326,0.11724,0.05327,0.0895,0.07487,0.08788,0.07731,0.03512,0.01226,0.00168,0.00488,0.00636,0.01446
PT,103200,85030,228873,279820,127189,304310,217196,557290,696728,311806,304310,217196,557290,696728,311806,36467,24832,74592,73340,44517,76.88,76.88,90.37,114.12,116.79,136.16,0.00998,0.00638,0.01677,0.01952,0.00477,0.10515,0.06437,0.16139,0.15978,0.06083,0.06934,0.04245,0.10643,0.10536,0.04011,0.00547,0.00289,0.00848,0.00794,0.00259
RO,146273,306643,489495,365759,269967,437509,773862,759785,724163,536919,437509,773862,759785,724163,536919,47897,201831,324709,150744,215225,73.48,73.48,110.89,165.79,172.51,181.38,0.00733,0.01098,0.01661,0.00827,0.00464,0.09481,0.15949,0.15049,0.09594,0.04713,0.06252,0.10517,0.09924,0.06326,0.03108,0.00373,0.0112,0.01709,0.00529,0.00573
SK,73624,68237,79796,71044,26985,193675,126005,168544,170258,57203,193675,126005,168544,170258,57203,4300,19734,73236,114824,46646,136.67,136.67,150.24,168.07,182.7,140.94,0.01457,0.01353,0.01412,0.01097,0.00344,0.12907,0.10886,0.13395,0.12095,0.03697,0.08511,0.07178,0.08833,0.07976,0.02438,0.00132,0.00607,0.0201,0.0275,0.00922
SI,7522,13010,10757,8595,7983,60016,97686,61775,40701,40024,60016,97686,61775,40701,40024,13647,11818,31748,43238,19796,88.33,88.33,130.61,175.54,198.03,201.03,0.00392,0.00605,0.00379,0.002,0.00133,0.13164,0.21107,0.11832,0.058,0.03857,0.0868,0.13918,0.07802,0.03825,0.02544,0.01108,0.00853,0.01733,0.01558,0.0051
ES,672013,674356,1329996,1618556,1039154,1058663,872103,1657375,2000678,1070162,1058663,872103,1657375,2000678,1070162,534762,164470,594692,1346018,1152776,35.58,35.58,46.23,70.02,80.3,75.9,0.01803,0.01704,0.02954,0.02565,0.01214,0.0969,0.08445,0.13994,0.11153,0.04592,0.0639,0.05569,0.09228,0.07355,0.03028,0.02225,0.00644,0.02049,0.03309,0.02089
SE,292809,62630,138845,111752,30561,198270,88924,173492,95142,39054,198270,88924,173492,95142,39054,320766,320742,682090,821486,578536,149.56,149.56,157.35,169.67,216.63,263.48,0.05197,0.00816,0.01278,0.00795,0.00181,0.13522,0.04986,0.07619,0.03875,0.01512,0.08916,0.03288,0.05024,0.02555,0.00997,0.08829,0.06481,0.09735,0.0907,0.05324
