geo_id,number_of_buildings,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
GM0784,663,8.2,8.2,8.3,8.7,13.2,8.6,8.6,8.6,8.7,12,0.15
GM0785,345,6.4,7.1,8,8.7,11,6,7.2,8.1,8.9,10.9,0.15
GM0786,261,6.4,7.2,7.9,8.7,12.4,2.4,5.1,6.8,8,10.5,0.15
GM0788,567,9.9,10.3,10.5,13.2,16.9,9.2,10.1,10.6,12.3,15.1,0.15
GM0794,1547,4.9,5.6,6.3,7.1,8.9,3.4,5,6.1,7.1,8.3,0.15
GM0796,4144,3.9,4.9,5.8,6.6,8.5,1.5,3.1,4.2,5.2,6.9,0.15
GM0797,668,7.4,8.4,9,9.5,10.8,6.9,8.1,9.1,9.9,11.6,0.15
GM0798,893,10.3,10.3,10.8,12.8,16.4,9.5,9.5,10.4,12.4,15.6,0.15
GM0809,673,6.4,7.1,7.7,8.6,11.4,6,7.4,8,9,11.6,0.15
GM0815,206,9.8,10.4,12.1,15.9,19.9,10.2,11,12,14.3,16.6,0.15
GM0820,394,10,10.1,10.2,10.7,13,7.9,8.5,9,9.5,11,0.15
GM0823,568,7.6,8.7,10,14.3,18.1,7,8.6,9.5,12.5,15.6,0.15
GM0824,754,6.4,7,7.9,9,13.2,5.2,6.8,7.9,8.6,11.3,0.15
GM0826,1767,4.8,5.9,6.8,7.5,9.8,3.7,5.2,6.2,7.2,9.5,0.15
GM0828,1846,5.9,6.8,7.9,9.2,11.9,4.6,6.4,7.6,8.6,11.2,0.15
GM0840,398,9,9.1,9.2,10.8,15.7,10.6,11.1,11.2,12.3,15.1,0.15
GM0845,396,9.2,9.6,10.2,11.1,15.3,8.7,9.2,9.8,10.8,13.7,0.15
GM0847,427,9.9,9.9,10.8,13.1,17.7,10.5,10.5,11.2,12.5,15.6,0.15
GM0848,360,9.1,10.3,10.8,11.3,13.3,9.8,9.8,10,10.6,12.4,0.15
GM0851,493,9.1,9.6,9.9,10.2,13.9,6.6,7.7,8.4,9.3,12.3,0.15
GM0852,279,6.1,6.8,7.2,8.5,11.4,5.8,7,7.8,8.6,10.2,0.15
GM0855,4026,3.4,4.4,5.1,5.9,7.7,1.3,2.8,3.8,4.8,6.6,0.15
GM0856,1241,5.1,6.7,7.6,8.5,12,3.3,6.4,7.5,8.5,11.7,0.15
GM0858,728,6.9,7.7,8.2,8.7,10.7,4.5,6,7.1,7.9,9.8,0.15
GM0861,1009,6.3,7.4,7.9,8.5,9.7,6.6,7.8,8.5,9.1,10,0.15
GM0865,602,7.1,7.3,7.7,8.6,10.8,5.6,6.3,7.2,8,9.7,0.15
GM0866,327,10,10.4,10.5,10.7,11.9,9,9.4,9.7,10,11,0.15
GM0867,943,6.2,6.7,7.2,8.1,9.6,5.6,7,7.9,8.6,9.9,0.15
GM0870,677,9.1,9.7,10.1,10.6,13.5,8.5,9.4,10.2,10.8,12.5,0.15
GM0873,1000,10.1,10.3,10.5,11,13.9,9.2,9.5,10.1,10.6,13.5,0.15
GM0874,237,9,9.7,10.3,11.1,15,9,9.8,10.3,10.9,13.4,0.15
GM0879,335,8.4,9.2,11.5,16.5,20.4,9.7,9.8,11,14.4,17.1,0.15
GM0880,383,5.3,5.4,5.9,6.5,10,6.1,6.9,7.5,8.4,10.8,0.15
GM0881,178,9.1,9.1,9.2,9.8,10.8,9.9,9.9,9.9,10.4,11,0.15
GM0882,647,6.7,7,7.3,7.8,8.7,6.1,6.7,7.2,7.7,8.5,0.15
GM0888,500,8,8,8.2,8.8,9.6,7.7,7.7,8.1,9,9.7,0.15
GM0889,739,9.1,9.1,9.5,9.9,11.5,9.6,9.6,9.8,10,11.1,0.15
GM0893,214,10.3,10.4,10.9,13.5,17.7,9.7,10,10.5,11.9,14.5,0.15
GM0899,557,3.7,5.1,6,6.8,8.3,2.7,4.8,6.2,7.2,8.5,0.15
GM0907,1102,8.2,8.7,9.6,10.7,14.4,7.3,8.4,9.5,11.2,13.5,0.15
GM0917,2339,4.6,5.1,5.6,6.2,7.3,2.8,4.3,5.3,6.1,7,0.15
GM0928,933,5.7,6.1,6.5,6.9,7.6,4.2,5,5.4,6.1,6.9,0.15
GM0935,3675,3.5,4.1,4.7,5.1,6.1,2.3,3.6,4.3,4.9,5.6,0.15
GM0938,315,8.6,8.9,9.6,10.1,11.7,7.4,7.5,8.5,9,10,0.15
GM0944,175,11.6,11.7,11.7,11.9,13.5,10.9,10.9,11,11.2,13.1,0.15
GM0946,258,10.6,10.8,11.9,14.3,17.7,10.1,10.3,11.5,14.1,17.2,0.15
GM0951,272,8.4,9.2,10.1,10.7,12.4,7.4,8.1,9.1,9.8,10.9,0.15
GM0957,1533,4.3,5.4,6.2,7.2,9.2,1.4,3,4.4,5.7,7.2,0.15
GM0962,242,10.2,10.3,10.3,10.4,11.3,9,9.5,10,10.5,11.1,0.15
GM0965,292,7.6,7.6,7.9,8.7,10.4,6.6,7.1,7.5,8.1,9.2,0.15
GM0971,469,8.6,8.8,9,9.2,9.8,7.5,8.1,8.6,8.9,9.4,0.15
GM0981,715,5.5,5.6,5.6,6.4,8.9,4.8,4.8,4.8,5.5,6.8,0.15
GM0983,3002,4.7,5.7,6.6,7.5,10.4,3.5,4.7,5.8,6.8,8.5,0.15
GM0984,894,6.2,7.1,9.1,11.6,14.7,4.6,6.4,7.9,9.5,11.9,0.15
GM0986,292,7.8,8.3,8.9,9.4,11.3,8.5,9.3,9.9,10.2,11.2,0.15
GM0988,1808,5.7,6.8,7.6,8.7,12.5,3.9,5.8,7,7.9,10.7,0.15
GM0994,1138,8,8.1,8.5,8.9,10.3,4.4,5.1,6.4,7.3,8.4,0.15
GM0995,1637,5,6.6,7.5,8.4,10.3,2,4.1,5.2,6.1,7.9,0.15
GM1507,2091,8.1,9,10.3,13.5,17.3,7.5,9.1,10,12.1,14.5,0.15
GM1509,690,8.9,9.3,9.7,11.3,15.8,8.8,9.5,9.9,11.3,15,0.15
GM1525,793,7,7,7.3,7.7,9.3,7.5,7.5,7.7,7.8,8.9,0.15
GM1581,3122,7.2,7.9,8.6,9.4,12.2,7.6,8.3,9.5,10.4,13.1,0.15
GM1586,1080,7.2,8.3,9.3,11.7,15.9,5.6,7.9,8.9,10.7,14,0.15
GM1598,294,9.1,10.1,10.7,11.4,13.4,9.8,10.5,11.3,12.1,14.1,0.15
GM1621,860,6.4,7,7.6,8.2,10.7,5.4,6.1,6.8,7.3,9.3,0.15
GM1640,903,10.4,11.2,11.7,13.2,17.3,9.2,9.8,10.2,11.4,14.2,0.15
GM1641,1110,10.6,11,11.4,11.8,13,9.1,9.4,9.5,9.9,10.7,0.15
GM1651,321,11.3,11.7,12.6,13.2,15.5,8.3,8.7,9.3,10,12.7,0.15
GM1652,811,8.9,9.6,10.2,12.2,16.6,9.5,9.9,10.2,11.7,14.8,0.15
GM1655,683,8.9,9.9,10.7,11.4,14.6,7.3,8.2,9.1,9.9,12.4,0.15
GM1658,528,10.7,10.8,10.8,11.7,15.6,11.5,11.5,11.7,12.5,15,0.15
GM1659,353,8.6,9.5,10,10.9,15.1,9.6,10,10.5,11.3,14.2,0.15
GM1663,265,11.8,12.4,13,14,16.1,9.7,10.1,10.4,11.2,13.1,0.15
GM1667,424,10.2,10.2,10.7,13.1,17.1,11,11,11.6,13.3,16,0.15
GM1669,668,10.6,10.6,10.8,11.1,13.3,9.6,9.8,10,10.4,12.1,0.15
GM1674,1725,5.2,5.9,6.5,7.3,10.2,3.7,5.3,6.4,7.3,9.5,0.15
GM1676,6007,7,8.4,9.5,10.9,14.1,5.9,7.6,8.7,10,13.2,0.15
GM1680,1961,11.8,13.4,14.4,15.5,17.8,10.9,12.2,13,13.9,16.2,0.15
GM1681,735,11.9,13.2,14.7,15.9,18.7,11.8,13.6,14.7,15.9,18.1,0.15
GM1684,489,7.4,7.7,7.9,8.7,13.1,5.9,6.5,7.6,8.8,11.3,0.15
GM1685,489,10.4,11.4,12.1,14.3,18.1,12,12.5,12.9,14.4,16.9,0.15
GM1690,948,12,12.6,13.4,16.5,20.2,11.4,11.9,12.9,15.7,19,0.15
GM1695,1753,8.1,9.4,10.4,11.7,13.1,8.3,9.1,9.9,10.7,12,0.15
GM1696,1668,8.3,8.5,9,10,11.4,9.6,10.2,10.7,11.7,13.9,0.15
GM1699,933,10.1,11,11.8,13,16.4,10.7,10.9,11.1,12.6,15.2,0.15
GM1700,743,9.5,9.9,10.5,11.7,15.6,9.8,10.7,11.5,13,16.1,0.15
GM1701,1539,13.4,14.1,15.5,17.6,21,12.1,12.3,13.8,15.5,18.1,0.15
GM1702,235,11.7,12.7,14.6,18.9,22.3,9.8,11.1,12.7,16.4,19.3,0.15
GM1705,721,7.6,8.1,8.8,9.5,12.5,6.9,7.7,8.3,9,11.4,0.15
GM1706,410,10.1,10.4,10.5,11.9,15.3,11,11,11.5,12.9,15.3,0.15
GM1708,1419,6.5,8,9.3,11,15.4,6.7,7.9,9.1,10.4,13.8,0.15
GM1709,600,7.2,8.1,8.8,9.7,13.4,6.5,8,8.7,9.4,12.1,0.15
GM1711,1241,7.6,8.1,8.7,9.5,11.7,7.4,8.3,9.1,10.2,12.5,0.15
GM1714,4705,8.2,9,9.5,10.9,14,5.9,6.8,7.6,8.7,11.7,0.15
GM1719,454,8.6,8.7,8.7,9.3,11.7,8.6,8.9,9.5,9.9,11.3,0.15
GM1721,416,8.4,9.9,11.1,12.8,17.5,7.1,8.9,10.3,12,15.2,0.15
GM1722,119,11.5,11.8,12.1,13.2,16.4,9.6,10.2,10.8,11.6,14.4,0.15
GM1723,338,10.6,11.6,14.2,17.9,20.6,9.4,10,12.1,14.8,17.1,0.15
GM1724,1148,7.9,8.5,9.3,11.2,15.4,8.5,10,11.6,13.7,16.7,0.15
GM1728,1066,10.4,10.4,10.5,11.2,14.4,10.6,10.6,10.7,11.9,14.4,0.15
GM1729,679,9.1,9.2,9.8,10.7,13.1,7.1,8,8.5,9.2,10.3,0.15
GM1730,1445,12,12.2,12.5,13.4,15.9,10.5,10.7,11.4,12.2,14.1,0.15
GM1731,2164,11.5,12.2,13.1,15.3,19,10,10.4,11.4,13.6,16.3,0.15
GM1734,1040,8.4,9.2,9.8,10.4,13.3,8.9,9.3,9.8,10.6,13,0.15
GM1735,1278,7.8,9.6,11.2,15.5,19.5,7.2,9.1,10.1,13.9,17.7,0.15
GM1740,540,9.5,9.8,10.4,11.8,15.5,11.7,12,12.6,13.6,16.5,0.15
GM1742,1543,7.5,8.2,9,10.2,14.5,5.6,7.3,8.2,9.2,12.1,0.15
GM1771,689,6.5,7.2,8,8.7,9.7,5.7,7,8,8.6,9.6,0.15
GM1773,355,9.5,10.6,11.6,14.9,19.9,7.2,8.4,9.4,12.3,15.5,0.15
GM1774,556,9.7,10.7,12.5,16.9,20.7,8.3,9.8,11.1,14.3,17.4,0.15
GM1783,2300,5.7,6.2,6.6,7.5,11.6,4.9,5.9,6.5,7.2,8.8,0.15
GM1842,258,8.5,8.6,8.7,8.9,12.7,7,7,7.1,7.3,9.2,0.15
GM1859,1345,9.5,9.9,10.5,14.9,19.2,8.5,9.3,9.9,13.1,16.2,0.15
GM1876,978,10.5,10.8,13.5,17.9,21.7,10.1,10.3,12.7,15.9,18.6,0.15
GM1883,2429,6.5,6.9,7.2,7.8,9,5,6.1,6.9,7.5,8.5,0.15
GM1884,741,7,7.6,8.6,9.6,11.4,7.2,8,8.6,9.4,11.2,0.15
GM1891,281,11.2,11.6,11.9,12.3,14.3,11.8,12.1,12.5,12.9,14.5,0.15
GM1892,1097,4.7,6,6.7,7.5,10.6,4.3,5.9,6.6,7.4,10.2,0.15
GM1894,1265,10.3,10.8,11.3,13.1,17.3,8.9,9.6,10.2,11.4,13.6,0.15
GM1895,815,8.1,8.8,10.6,12.7,15.6,4.9,6,6.8,7.5,8.2,0.15
GM1896,388,7.6,8.3,8.9,9.5,13.1,5.6,7,7.6,8.3,11.3,0.15
GM1900,3129,6.8,8.1,9.1,10.2,12.8,6,7.3,8.3,9.3,11.7,0.15
GM1901,917,7,7.4,8.1,9,11.8,6.5,7.1,7.5,8.3,11.2,0.15
GM1903,703,9.6,9.9,10.2,10.6,11.9,8.6,9,9.4,9.8,10.4,0.15
GM1904,1422,3.9,5.1,5.9,6.8,9.6,3,4.7,5.8,6.7,9.5,0.15
GM1911,861,9.1,9.7,10.3,11.5,14.9,9.7,10.6,11.2,12.2,15.6,0.15
GM1916,1307,2.3,3.1,3.9,4.5,5.8,0.3,1,1.6,2.6,4.1,0.15
GM1924,5421,7.5,8.2,8.7,9.4,11.9,6.7,7.5,8,8.9,11.2,0.15
GM1926,627,5.2,6,6.6,7,9.4,4.9,5.5,6,6.7,8.4,0.15
GM1927,506,7.6,8.5,9.2,11.1,14.5,7.8,8.4,9.2,10.6,13.1,0.15
GM1930,1271,2.2,3.8,4.7,5.6,7.4,0.4,2.3,3.7,4.8,6.2,0.15
GM1931,978,6.6,7.1,7.6,8.6,11.8,5.6,6.8,7.6,8.7,11.8,0.15
GM1940,2688,9.4,10.3,11.3,12.8,16,8.5,9.8,10.7,12.1,14.7,0.15
GM1942,1840,4.8,5.7,6.3,7,8.5,3.9,4.8,6.1,7,8.4,0.15
GM1945,772,8.3,8.8,9.2,9.6,12.2,6.9,8,8.7,9.3,11.3,0.15
GM1948,1929,6.6,7.9,8.9,10.4,15.1,5.7,7.6,8.6,9.8,13.2,0.15
GM1949,720,8.8,10.5,11.5,12.4,15.3,7.8,9.1,10,10.8,12.9,0.15
GM1950,823,9.8,11.1,12.3,14.6,18.6,8.8,10.6,12.3,14.2,17.4,0.15
GM1952,1206,5.6,7.7,9.3,10.8,13.8,4.7,7,8.7,10.1,12.3,0.15
GM1954,692,8.6,9.3,9.8,10.4,11.7,8,8.9,9.6,10.2,11,0.15
GM1955,801,8.6,8.9,9.5,11.2,15,8.1,9,9.5,10.8,13.6,0.15
GM1959,1111,9.2,9.9,10.2,10.8,13.8,9,10,10.7,11.4,13.5,0.15
GM1960,1045,9.2,9.9,10.8,12.1,15.1,8.1,9.2,10.1,11.3,13.9,0.15
GM1961,1188,6,7.1,7.7,8.8,12.3,5,6.5,7.6,8.8,11.2,0.15
GM1963,1426,7.3,8,8.6,9.4,12.5,6.4,7.1,7.8,8.3,9.5,0.15
GM1966,943,10.6,11.2,11.9,12.7,14.8,8.7,9.3,9.7,10.3,12.4,0.15
GM1969,968,11.1,12.1,12.8,14.2,17.9,9.5,10.3,11,12.3,15.1,0.15
GM1970,1392,8.9,10.4,11.1,12,15.1,8,9,9.8,10.9,13.3,0.15
GM1978,801,8,8.7,9.4,11.1,14.3,8.1,8.9,9.7,11,13.3,0.15
PV20,12785,3.5,5.2,7,8.7,11.8,2.8,4.3,6.1,7.5,10,0.15
PV21,23741,6.2,7.9,9.2,10.6,13.7,4.8,7,8.3,9.7,12.3,0.15
PV22,18793,6.6,8.5,10,11.6,15,5.7,7.8,9.1,10.8,13.6,0.15
PV23,31311,5,6.1,7.3,8.7,13.2,3.9,5.7,7,8.3,11.8,0.15
PV24,8852,5.4,6.5,7.2,7.9,10.7,3.1,5.2,6.2,7.1,9.8,0.15
PV25,62051,5.3,6.6,7.6,8.8,12.7,4.6,6.3,7.5,8.6,11.8,0.15
PV26,27531,3.2,4.4,5.3,6.2,8.5,1.7,3.3,4.6,5.7,8,0.15
PV27,80205,2,3,4,5,7,0.5,1.5,2.8,4.2,6.2,0.15
PV28,82697,2.4,3.2,4,4.8,6.8,1.1,2,3,4,5.7,0.15
PV29,24446,6.1,7.3,8.4,9.4,12.3,4.5,6.1,7.1,8,10.4,0.15
PV30,59137,5,6.2,7.3,8.3,11.5,3.2,5.2,6.6,7.7,10.3,0.15
PV31,33378,5.2,6.3,7.3,8.2,10.9,4,5.6,6.7,7.7,9.6,0.15
RES01,8170,7.4,8.5,9.3,12,16.6,6.8,8.3,9.2,11.3,14.7,0.15
RES02,5832,3.7,4.5,5.2,5.8,7.2,2.3,3.7,4.7,5.5,6.7,0.15
RES03,18793,6.6,8.5,10,11.6,15,5.7,7.8,9.1,10.8,13.6,0.15
RES04,8852,5.4,6.5,7.2,7.9,10.7,3.1,5.2,6.2,7.1,9.8,0.15
RES05,11934,4.5,5.7,6.7,7.9,11.8,3.3,5.5,6.7,8.1,11.6,0.15
RES06,23741,6.2,7.9,9.2,10.6,13.7,4.8,7,8.3,9.7,12.3,0.15
RES07,5421,7.5,8.2,8.7,9.4,11.9,6.7,7.5,8,8.9,11.2,0.15
RES08,12785,3.5,5.2,7,8.7,11.8,2.8,4.3,6.1,7.5,10,0.15
RES09,9348,4.4,5.6,6.5,7.4,9.8,2.8,4.5,5.8,6.9,9.1,0.15
RES10,1426,7.3,8,8.6,9.4,12.5,6.4,7.1,7.8,8.3,9.5,0.15
RES11,13632,3.7,4.6,5.3,6,8.1,2.4,3.6,4.7,5.5,7.2,0.15
RES12,18916,4.8,6.1,7.3,8.2,11.3,2,4.6,6.2,7.4,9.9,0.15
RES13,49446,2.2,2.7,3.3,4.1,5.7,0.9,1.6,2.2,3.1,4.5,0.15
RES14,5147,4.3,5.4,6.2,7,9.6,2.5,4.2,5.3,6.2,8.8,0.15
RES16,26693,4.9,6,6.9,7.9,10.3,3.6,5.7,7,8.1,10.2,0.15
RES17,53512,1.7,2.5,3.4,4.2,5.9,0.4,1,2,3.2,5,0.15
RES18,11184,6.6,7.8,8.7,10.3,13.6,6.2,8.2,9.4,11,14.4,0.15
RES19,17003,6.1,7.5,8.6,9.8,13.5,4.6,6.7,7.8,8.9,11.4,0.15
RES20,14372,5.5,6.8,7.9,9.2,13,3.8,5.8,7.1,8.4,11.4,0.15
RES21,1793,4.1,5.7,6.7,8,11.1,2.5,4.7,6.1,7.4,9.8,0.15
RES22,7543,4.2,5.1,5.9,6.6,8.7,2.6,4.3,5.5,6.5,8.5,0.15
RES23,15114,4.3,5.4,6.3,7.1,9.4,3.5,5.2,6.2,7.1,8.9,0.15
RES24,17951,3,4.1,5.1,6,8.4,1.5,3,4.3,5.4,7.7,0.15
RES25,5857,7.5,8.6,9.5,10.8,14,6.7,8.3,9.4,10.5,13.2,0.15
RES26,11829,6.1,7.1,8.1,9.8,14.2,5,6.4,7.5,8.7,12.3,0.15
RES27,16032,5.2,6.2,7.2,8.6,12.9,4.3,6,7.2,8.4,11.7,0.15
RES28,16501,5.3,6.3,7.2,8.2,11.4,4.6,6,7.1,8.1,10.5,0.15
RES29,15279,4.7,6,7.3,9,13.5,3.6,5.3,6.7,8.2,11.8,0.15
RES30,24446,6.1,7.3,8.4,9.4,12.3,4.5,6.1,7.1,8,10.4,0.15
RES31,16375,4.8,5.7,6.5,7.2,8.6,3.8,5.1,6,6.9,8,0.15
