geo_id,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
BU03530022,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,0.15
BU03530023,10.7,10.7,10.7,10.7,10.7,6.2,6.2,6.2,6.2,6.2,0.15
BU03530024,9.2,9.2,9.2,9.2,9.2,7.5,7.5,7.5,7.5,7.5,0.15
BU03530025,8.4,8.4,8.4,8.4,8.4,5.8,5.8,5.8,5.8,5.8,0.15
BU03530026,8.8,8.8,8.8,8.8,8.8,7,7,7,7,7,0.15
BU03530027,10.3,10.3,10.3,10.3,10.3,6.7,6.7,6.7,6.7,6.7,0.15
BU03530028,11.8,11.8,11.8,11.8,11.8,9.1,9.1,9.1,9.1,9.1,0.15
BU03530029,26.2,26.2,26.2,26.2,26.2,32,32,32,32,32,0.15
BU03530030,33.2,33.2,33.2,33.2,33.2,25,25,25,25,25,0.15
BU03550101,3.9,3.9,3.9,3.9,3.9,2.7,2.7,2.7,2.7,2.7,0.15
BU03550102,6,6,6,6,6,5.4,5.4,5.4,5.4,5.4,0.15
BU03550103,5.6,5.6,5.6,5.6,5.6,8.7,8.7,8.7,8.7,8.7,0.15
BU03550104,13.7,13.7,13.7,13.7,13.7,14.6,14.6,14.6,14.6,14.6,0.15
BU03550105,10.4,10.4,10.4,10.4,10.4,4.5,4.5,4.5,4.5,4.5,0.15
BU03550201,6.6,6.6,6.6,6.6,6.6,10.4,10.4,10.4,10.4,10.4,0.15
BU03550202,9.4,9.4,9.4,9.4,9.4,10.4,10.4,10.4,10.4,10.4,0.15
BU03550203,6.5,6.5,6.5,6.5,6.5,4.1,4.1,4.1,4.1,4.1,0.15
BU03550204,6.6,6.6,6.6,6.6,6.6,5.4,5.4,5.4,5.4,5.4,0.15
BU03550205,1.5,1.5,1.5,1.5,1.5,1.1,1.1,1.1,1.1,1.1,0.15
BU03550206,16.2,16.2,16.2,16.2,16.2,11.8,11.8,11.8,11.8,11.8,0.15
BU03550301,7.1,7.1,7.1,7.1,7.1,10.7,10.7,10.7,10.7,10.7,0.15
BU03550302,5.9,5.9,5.9,5.9,5.9,7.9,7.9,7.9,7.9,7.9,0.15
BU03550303,6.5,6.5,6.5,6.5,6.5,7.1,7.1,7.1,7.1,7.1,0.15
BU03550304,10,10,10,10,10,10.4,10.4,10.4,10.4,10.4,0.15
BU03550305,6.2,6.2,6.2,6.2,6.2,8.2,8.2,8.2,8.2,8.2,0.15
BU03550306,3.1,3.1,3.1,3.1,3.1,0.5,0.5,0.5,0.5,0.5,0.15
BU03550307,5.7,5.7,5.7,5.7,5.7,7.2,7.2,7.2,7.2,7.2,0.15
BU03550308,38.8,38.8,38.8,38.8,38.8,35.1,35.1,35.1,35.1,35.1,0.15
BU03550309,19,19,19,19,19,27.3,27.3,27.3,27.3,27.3,0.15
BU03550401,6.7,6.7,6.7,6.7,6.7,8.7,8.7,8.7,8.7,8.7,0.15
BU03550402,2.9,2.9,2.9,2.9,2.9,2,2,2,2,2,0.15
BU03550403,10.1,10.1,10.1,10.1,10.1,5.6,5.6,5.6,5.6,5.6,0.15
BU03550404,14.7,14.7,14.7,14.7,14.7,9.3,9.3,9.3,9.3,9.3,0.15
BU03550405,23,23,23,23,23,16.5,16.5,16.5,16.5,16.5,0.15
BU03550406,10.9,10.9,10.9,10.9,10.9,15.9,15.9,15.9,15.9,15.9,0.15
BU03550407,19.8,19.8,19.8,19.8,19.8,21.6,21.6,21.6,21.6,21.6,0.15
BU03550501,9.4,9.4,9.4,9.4,9.4,8,8,8,8,8,0.15
BU03550502,15.8,15.8,15.8,15.8,15.8,12.6,12.6,12.6,12.6,12.6,0.15
BU03550503,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,0.15
BU03550504,30.8,30.8,30.8,30.8,30.8,22.9,22.9,22.9,22.9,22.9,0.15
BU03550505,9.7,9.7,9.7,9.7,9.7,13.8,13.8,13.8,13.8,13.8,0.15
BU03550506,11,11,11,11,11,10,10,10,10,10,0.15
BU03550507,11.6,11.6,11.6,11.6,11.6,35.1,35.1,35.1,35.1,35.1,0.15
BU03550508,5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,0.15
BU03560100,5.5,5.5,5.5,5.5,5.5,5.3,5.3,5.3,5.3,5.3,0.15
BU03560200,7.5,7.5,7.5,7.5,7.5,7.3,7.3,7.3,7.3,7.3,0.15
BU03560300,7.2,7.2,7.2,7.2,7.2,6.3,6.3,6.3,6.3,6.3,0.15
BU03560400,6.7,6.7,6.7,6.7,6.7,6.1,6.1,6.1,6.1,6.1,0.15
BU03560500,7.9,7.9,7.9,7.9,7.9,6.7,6.7,6.7,6.7,6.7,0.15
BU03560600,11.4,11.4,11.4,11.4,11.4,11.3,11.3,11.3,11.3,11.3,0.15
BU03560700,5.6,5.6,5.6,5.6,5.6,4.9,4.9,4.9,4.9,4.9,0.15
BU03560800,7.1,7.1,7.1,7.1,7.1,6.8,6.8,6.8,6.8,6.8,0.15
BU03561000,6,6,6,6,6,5.9,5.9,5.9,5.9,5.9,0.15
BU03561100,9,9,9,9,9,8.2,8.2,8.2,8.2,8.2,0.15
BU03561200,3.1,3.1,3.1,3.1,3.1,2.7,2.7,2.7,2.7,2.7,0.15
BU03561300,7.2,7.2,7.2,7.2,7.2,5.9,5.9,5.9,5.9,5.9,0.15
BU03561400,2.4,2.4,2.4,2.4,2.4,0.7,0.7,0.7,0.7,0.7,0.15
BU03561500,37.4,37.4,37.4,37.4,37.4,14.4,14.4,14.4,14.4,14.4,0.15
BU03561600,6.8,6.8,6.8,6.8,6.8,9.3,9.3,9.3,9.3,9.3,0.15
BU03561800,22.1,22.1,22.1,22.1,22.1,18.1,18.1,18.1,18.1,18.1,0.15
BU03562000,15.2,15.2,15.2,15.2,15.2,16.6,16.6,16.6,16.6,16.6,0.15
BU03562100,24.9,24.9,24.9,24.9,24.9,15.7,15.7,15.7,15.7,15.7,0.15
BU03562200,22.5,22.5,22.5,22.5,22.5,15.1,15.1,15.1,15.1,15.1,0.15
BU03562300,24.9,24.9,24.9,24.9,24.9,28.6,28.6,28.6,28.6,28.6,0.15
BU03562400,2.1,2.1,2.1,2.1,2.1,0.8,0.8,0.8,0.8,0.8,0.15
BU03580000,6.1,6.1,6.1,6.1,6.1,4.8,4.8,4.8,4.8,4.8,0.15
BU03580001,8.3,8.3,8.3,8.3,8.3,9.3,9.3,9.3,9.3,9.3,0.15
BU03580004,11.9,11.9,11.9,11.9,11.9,13.1,13.1,13.1,13.1,13.1,0.15
BU03580005,9.7,9.7,9.7,9.7,9.7,26.5,26.5,26.5,26.5,26.5,0.15
BU03580100,9,9,9,9,9,10.8,10.8,10.8,10.8,10.8,0.15
BU03580200,9.8,9.8,9.8,9.8,9.8,23.3,23.3,23.3,23.3,23.3,0.15
BU03580201,22,22,22,22,22,26.6,26.6,26.6,26.6,26.6,0.15
BU03580205,10,10,10,10,10,12.4,12.4,12.4,12.4,12.4,0.15
BU03580206,20.4,20.4,20.4,20.4,20.4,19.2,19.2,19.2,19.2,19.2,0.15
BU03610904,24.9,24.9,24.9,24.9,24.9,25.5,25.5,25.5,25.5,25.5,0.15
BU03611005,46.6,46.6,46.6,46.6,46.6,22.2,22.2,22.2,22.2,22.2,0.15
BU03611006,11,11,11,11,11,13.8,13.8,13.8,13.8,13.8,0.15
BU03635801,1.8,1.8,1.8,1.8,1.8,0.5,0.5,0.5,0.5,0.5,0.15
BU03637900,23.5,23.5,23.5,23.5,23.5,29.9,29.9,29.9,29.9,29.9,0.15
BU03639003,4,4,4,4,4,3.1,3.1,3.1,3.1,3.1,0.15
BU03730500,12.6,12.6,12.6,12.6,12.6,14.2,14.2,14.2,14.2,14.2,0.15
BU03750000,4.9,4.9,4.9,4.9,4.9,2,2,2,2,2,0.15
BU03750001,4.7,4.7,4.7,4.7,4.7,2.2,2.2,2.2,2.2,2.2,0.15
BU03750002,4.4,4.4,4.4,4.4,4.4,2.7,2.7,2.7,2.7,2.7,0.15
BU03750003,6.5,6.5,6.5,6.5,6.5,5.6,5.6,5.6,5.6,5.6,0.15
BU03750004,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,0.15
BU03750005,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.3,0.15
BU03750100,9.8,9.8,9.8,9.8,9.8,7.6,7.6,7.6,7.6,7.6,0.15
BU03750101,5.6,5.6,5.6,5.6,5.6,6.8,6.8,6.8,6.8,6.8,0.15
BU03750200,5.8,5.8,5.8,5.8,5.8,4.6,4.6,4.6,4.6,4.6,0.15
BU03750201,6.4,6.4,6.4,6.4,6.4,5.1,5.1,5.1,5.1,5.1,0.15
BU03750202,11.6,11.6,11.6,11.6,11.6,5.9,5.9,5.9,5.9,5.9,0.15
BU03750300,4.7,4.7,4.7,4.7,4.7,3.3,3.3,3.3,3.3,3.3,0.15
BU03750301,5.3,5.3,5.3,5.3,5.3,4.9,4.9,4.9,4.9,4.9,0.15
BU03750302,5.2,5.2,5.2,5.2,5.2,4.1,4.1,4.1,4.1,4.1,0.15
BU03750303,5,5,5,5,5,7.4,7.4,7.4,7.4,7.4,0.15
BU03750400,10.3,10.3,10.3,10.3,10.3,6.4,6.4,6.4,6.4,6.4,0.15
BU03750401,11.7,11.7,11.7,11.7,11.7,9.6,9.6,9.6,9.6,9.6,0.15
BU03750500,8,8,8,8,8,9.3,9.3,9.3,9.3,9.3,0.15
BU03750501,11.4,11.4,11.4,11.4,11.4,15.9,15.9,15.9,15.9,15.9,0.15
BU03750600,5,5,5,5,5,3.9,3.9,3.9,3.9,3.9,0.15
BU03750601,7,7,7,7,7,8.6,8.6,8.6,8.6,8.6,0.15
BU03750700,5.1,5.1,5.1,5.1,5.1,3.6,3.6,3.6,3.6,3.6,0.15
BU03750701,4.2,4.2,4.2,4.2,4.2,3,3,3,3,3,0.15
BU03750702,3.5,3.5,3.5,3.5,3.5,2.6,2.6,2.6,2.6,2.6,0.15
BU03750703,7.4,7.4,7.4,7.4,7.4,5.7,5.7,5.7,5.7,5.7,0.15
BU03750800,6.8,6.8,6.8,6.8,6.8,7.9,7.9,7.9,7.9,7.9,0.15
BU03750801,27.5,27.5,27.5,27.5,27.5,15.4,15.4,15.4,15.4,15.4,0.15
BU03750900,15.6,15.6,15.6,15.6,15.6,9.2,9.2,9.2,9.2,9.2,0.15
BU03750901,20.9,20.9,20.9,20.9,20.9,15.9,15.9,15.9,15.9,15.9,0.15
BU03770000,11.5,11.5,11.5,11.5,11.5,10.5,10.5,10.5,10.5,10.5,0.15
BU03770001,3.4,3.4,3.4,3.4,3.4,4.1,4.1,4.1,4.1,4.1,0.15
BU03770002,5.7,5.7,5.7,5.7,5.7,4.1,4.1,4.1,4.1,4.1,0.15
BU03770003,12.8,12.8,12.8,12.8,12.8,11.9,11.9,11.9,11.9,11.9,0.15
BU03770004,9.5,9.5,9.5,9.5,9.5,6.2,6.2,6.2,6.2,6.2,0.15
BU03770005,0.7,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.2,0.15
BU03770009,15.8,15.8,15.8,15.8,15.8,5.1,5.1,5.1,5.1,5.1,0.15
BU03770100,9.5,9.5,9.5,9.5,9.5,11.1,11.1,11.1,11.1,11.1,0.15
BU03770101,13.8,13.8,13.8,13.8,13.8,9.4,9.4,9.4,9.4,9.4,0.15
BU03770109,19.5,19.5,19.5,19.5,19.5,17.4,17.4,17.4,17.4,17.4,0.15
BU03770200,18.2,18.2,18.2,18.2,18.2,15.5,15.5,15.5,15.5,15.5,0.15
BU03770201,27.1,27.1,27.1,27.1,27.1,19.9,19.9,19.9,19.9,19.9,0.15
BU03770202,12.7,12.7,12.7,12.7,12.7,11.6,11.6,11.6,11.6,11.6,0.15
BU03770209,16.1,16.1,16.1,16.1,16.1,12,12,12,12,12,0.15
BU03770300,8,8,8,8,8,10.8,10.8,10.8,10.8,10.8,0.15
BU03770309,27.7,27.7,27.7,27.7,27.7,16.4,16.4,16.4,16.4,16.4,0.15
BU03770400,8,8,8,8,8,6.7,6.7,6.7,6.7,6.7,0.15
BU03770401,14.8,14.8,14.8,14.8,14.8,12.5,12.5,12.5,12.5,12.5,0.15
BU03770402,9.4,9.4,9.4,9.4,9.4,11.4,11.4,11.4,11.4,11.4,0.15
BU03770403,16.5,16.5,16.5,16.5,16.5,14,14,14,14,14,0.15
BU03770404,7.9,7.9,7.9,7.9,7.9,10.1,10.1,10.1,10.1,10.1,0.15
BU03770409,9,9,9,9,9,1.9,1.9,1.9,1.9,1.9,0.15
BU03830001,6.8,6.8,6.8,6.8,6.8,7.8,7.8,7.8,7.8,7.8,0.15
BU03830011,7.2,7.2,7.2,7.2,7.2,5.9,5.9,5.9,5.9,5.9,0.15
BU03830101,9.3,9.3,9.3,9.3,9.3,9.8,9.8,9.8,9.8,9.8,0.15
BU03830111,9,9,9,9,9,8.6,8.6,8.6,8.6,8.6,0.15
BU03830201,8.3,8.3,8.3,8.3,8.3,6.5,6.5,6.5,6.5,6.5,0.15
BU03830211,12.3,12.3,12.3,12.3,12.3,9.6,9.6,9.6,9.6,9.6,0.15
BU03830221,8.3,8.3,8.3,8.3,8.3,8,8,8,8,8,0.15
BU03830301,15.1,15.1,15.1,15.1,15.1,10.2,10.2,10.2,10.2,10.2,0.15
BU03830311,31.1,31.1,31.1,31.1,31.1,13.1,13.1,13.1,13.1,13.1,0.15
BU03830401,21.5,21.5,21.5,21.5,21.5,18.7,18.7,18.7,18.7,18.7,0.15
BU03830411,9.2,9.2,9.2,9.2,9.2,9.6,9.6,9.6,9.6,9.6,0.15
BU03830421,11.1,11.1,11.1,11.1,11.1,9.3,9.3,9.3,9.3,9.3,0.15
BU03830431,13.9,13.9,13.9,13.9,13.9,12.3,12.3,12.3,12.3,12.3,0.15
BU03830501,12.5,12.5,12.5,12.5,12.5,9.3,9.3,9.3,9.3,9.3,0.15
BU03830511,11.1,11.1,11.1,11.1,11.1,11,11,11,11,11,0.15
BU03830601,23.2,23.2,23.2,23.2,23.2,10.8,10.8,10.8,10.8,10.8,0.15
BU03830701,10.6,10.6,10.6,10.6,10.6,15.3,15.3,15.3,15.3,15.3,0.15
BU03830711,9.5,9.5,9.5,9.5,9.5,10,10,10,10,10,0.15
BU03830721,11.9,11.9,11.9,11.9,11.9,10.6,10.6,10.6,10.6,10.6,0.15
BU03920206,5.3,5.3,5.3,5.3,5.3,6.1,6.1,6.1,6.1,6.1,0.15
BU03920208,11.4,11.4,11.4,11.4,11.4,11.9,11.9,11.9,11.9,11.9,0.15
BU03920502,6.4,6.4,6.4,6.4,6.4,3.8,3.8,3.8,3.8,3.8,0.15
BU03920903,15.3,15.3,15.3,15.3,15.3,22.5,22.5,22.5,22.5,22.5,0.15
BU03930000,8.7,8.7,8.7,8.7,8.7,8.4,8.4,8.4,8.4,8.4,0.15
BU03930002,25.2,25.2,25.2,25.2,25.2,25.5,25.5,25.5,25.5,25.5,0.15
BU03930003,7.8,7.8,7.8,7.8,7.8,10,10,10,10,10,0.15
BU03930004,14.8,14.8,14.8,14.8,14.8,13.1,13.1,13.1,13.1,13.1,0.15
BU03930008,32.8,32.8,32.8,32.8,32.8,16.8,16.8,16.8,16.8,16.8,0.15
BU03930009,12.5,12.5,12.5,12.5,12.5,7.9,7.9,7.9,7.9,7.9,0.15
BU03940676,17.9,17.9,17.9,17.9,17.9,13.4,13.4,13.4,13.4,13.4,0.15
BU03940779,8.9,8.9,8.9,8.9,8.9,8.4,8.4,8.4,8.4,8.4,0.15
BU03940781,10.9,10.9,10.9,10.9,10.9,12.3,12.3,12.3,12.3,12.3,0.15
BU03960100,5.5,5.5,5.5,5.5,5.5,2.2,2.2,2.2,2.2,2.2,0.15
BU03960101,8.9,8.9,8.9,8.9,8.9,10.6,10.6,10.6,10.6,10.6,0.15
BU03960200,7.4,7.4,7.4,7.4,7.4,8.7,8.7,8.7,8.7,8.7,0.15
BU03960201,0,0,0,0,0,3,3,3,3,3,0.15
BU03960202,10.5,10.5,10.5,10.5,10.5,7.5,7.5,7.5,7.5,7.5,0.15
BU03960300,16.8,16.8,16.8,16.8,16.8,11.5,11.5,11.5,11.5,11.5,0.15
BU03960301,4.9,4.9,4.9,4.9,4.9,0.6,0.6,0.6,0.6,0.6,0.15
BU03960302,4.7,4.7,4.7,4.7,4.7,4,4,4,4,4,0.15
BU03960303,5.3,5.3,5.3,5.3,5.3,4.7,4.7,4.7,4.7,4.7,0.15
BU03960400,13.8,13.8,13.8,13.8,13.8,10.4,10.4,10.4,10.4,10.4,0.15
BU03960402,27.1,27.1,27.1,27.1,27.1,16.2,16.2,16.2,16.2,16.2,0.15
BU03960403,23.9,23.9,23.9,23.9,23.9,12.3,12.3,12.3,12.3,12.3,0.15
BU03960404,9.5,9.5,9.5,9.5,9.5,7.8,7.8,7.8,7.8,7.8,0.15
BU03960409,24,24,24,24,24,23.1,23.1,23.1,23.1,23.1,0.15
BU03960500,5.4,5.4,5.4,5.4,5.4,5.8,5.8,5.8,5.8,5.8,0.15
BU03960501,6.1,6.1,6.1,6.1,6.1,6.5,6.5,6.5,6.5,6.5,0.15
BU03960502,7.1,7.1,7.1,7.1,7.1,7.5,7.5,7.5,7.5,7.5,0.15
BU03960503,14.5,14.5,14.5,14.5,14.5,5.8,5.8,5.8,5.8,5.8,0.15
BU03960600,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,0.15
BU03960601,7.7,7.7,7.7,7.7,7.7,6.8,6.8,6.8,6.8,6.8,0.15
BU03960602,15.2,15.2,15.2,15.2,15.2,13.2,13.2,13.2,13.2,13.2,0.15
BU03960603,5.5,5.5,5.5,5.5,5.5,8.9,8.9,8.9,8.9,8.9,0.15
BU03960604,2.1,2.1,2.1,2.1,2.1,13.2,13.2,13.2,13.2,13.2,0.15
BU03960605,14.8,14.8,14.8,14.8,14.8,9,9,9,9,9,0.15
BU03960700,5.2,5.2,5.2,5.2,5.2,5.7,5.7,5.7,5.7,5.7,0.15
BU03960701,15.7,15.7,15.7,15.7,15.7,14.9,14.9,14.9,14.9,14.9,0.15
BU03960702,6.1,6.1,6.1,6.1,6.1,7.8,7.8,7.8,7.8,7.8,0.15
BU03960800,6.7,6.7,6.7,6.7,6.7,7.4,7.4,7.4,7.4,7.4,0.15
BU03960801,4.5,4.5,4.5,4.5,4.5,5.3,5.3,5.3,5.3,5.3,0.15
BU03960802,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.8,8.8,8.8,0.15
BU03960900,7.1,7.1,7.1,7.1,7.1,8.4,8.4,8.4,8.4,8.4,0.15
BU03960901,8.9,8.9,8.9,8.9,8.9,7.9,7.9,7.9,7.9,7.9,0.15
BU03961001,6.7,6.7,6.7,6.7,6.7,6,6,6,6,6,0.15
BU03961002,7.1,7.1,7.1,7.1,7.1,7.9,7.9,7.9,7.9,7.9,0.15
BU03961100,3.9,3.9,3.9,3.9,3.9,9.9,9.9,9.9,9.9,9.9,0.15
BU03970000,5.4,5.4,5.4,5.4,5.4,6,6,6,6,6,0.15
BU03970001,7.6,7.6,7.6,7.6,7.6,8.8,8.8,8.8,8.8,8.8,0.15
BU03970002,10,10,10,10,10,8.8,8.8,8.8,8.8,8.8,0.15
BU03970003,9.4,9.4,9.4,9.4,9.4,10.7,10.7,10.7,10.7,10.7,0.15
BU03970004,12.9,12.9,12.9,12.9,12.9,7.6,7.6,7.6,7.6,7.6,0.15
BU03970005,4.9,4.9,4.9,4.9,4.9,4.7,4.7,4.7,4.7,4.7,0.15
BU03970006,9.4,9.4,9.4,9.4,9.4,10.3,10.3,10.3,10.3,10.3,0.15
BU03970007,6.6,6.6,6.6,6.6,6.6,4.8,4.8,4.8,4.8,4.8,0.15
BU03970008,1.9,1.9,1.9,1.9,1.9,2.4,2.4,2.4,2.4,2.4,0.15
BU03970009,6.2,6.2,6.2,6.2,6.2,7,7,7,7,7,0.15
BU03970100,8.4,8.4,8.4,8.4,8.4,8.9,8.9,8.9,8.9,8.9,0.15
BU03970101,8,8,8,8,8,8.3,8.3,8.3,8.3,8.3,0.15
BU03970102,11.3,11.3,11.3,11.3,11.3,5.3,5.3,5.3,5.3,5.3,0.15
BU03970200,7.5,7.5,7.5,7.5,7.5,6.6,6.6,6.6,6.6,6.6,0.15
BU03990802,15,15,15,15,15,12.2,12.2,12.2,12.2,12.2,0.15
BU04020304,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,0.15
BU04020405,4.3,4.3,4.3,4.3,4.3,4.7,4.7,4.7,4.7,4.7,0.15
BU04020903,37.5,37.5,37.5,37.5,37.5,31.8,31.8,31.8,31.8,31.8,0.15
BU04020904,17,17,17,17,17,31.4,31.4,31.4,31.4,31.4,0.15
BU04020905,30.2,30.2,30.2,30.2,30.2,15.3,15.3,15.3,15.3,15.3,0.15
BU04370000,7.8,7.8,7.8,7.8,7.8,8.4,8.4,8.4,8.4,8.4,0.15
BU04370001,5.1,5.1,5.1,5.1,5.1,4.2,4.2,4.2,4.2,4.2,0.15
BU04370006,41.2,41.2,41.2,41.2,41.2,17.4,17.4,17.4,17.4,17.4,0.15
BU04370007,25.1,25.1,25.1,25.1,25.1,16.8,16.8,16.8,16.8,16.8,0.15
BU04370008,22.1,22.1,22.1,22.1,22.1,26.2,26.2,26.2,26.2,26.2,0.15
BU04370009,24.1,24.1,24.1,24.1,24.1,21,21,21,21,21,0.15
BU04500001,9,9,9,9,9,9.6,9.6,9.6,9.6,9.6,0.15
BU04500002,8.3,8.3,8.3,8.3,8.3,7.8,7.8,7.8,7.8,7.8,0.15
BU04500003,6.9,6.9,6.9,6.9,6.9,9.3,9.3,9.3,9.3,9.3,0.15
BU04500004,6.9,6.9,6.9,6.9,6.9,7.5,7.5,7.5,7.5,7.5,0.15
BU04500005,20.6,20.6,20.6,20.6,20.6,11.6,11.6,11.6,11.6,11.6,0.15
BU04500006,19.7,19.7,19.7,19.7,19.7,14.2,14.2,14.2,14.2,14.2,0.15
BU04511500,5.8,5.8,5.8,5.8,5.8,5,5,5,5,5,0.15
BU04512500,7.9,7.9,7.9,7.9,7.9,7.8,7.8,7.8,7.8,7.8,0.15
BU04513500,7.7,7.7,7.7,7.7,7.7,5.6,5.6,5.6,5.6,5.6,0.15
BU04514500,9.8,9.8,9.8,9.8,9.8,9.4,9.4,9.4,9.4,9.4,0.15
BU04515000,23.8,23.8,23.8,23.8,23.8,30.7,30.7,30.7,30.7,30.7,0.15
BU04515500,33.9,33.9,33.9,33.9,33.9,30,30,30,30,30,0.15
BU04516500,6.2,6.2,6.2,6.2,6.2,8.7,8.7,8.7,8.7,8.7,0.15
BU04517500,14.5,14.5,14.5,14.5,14.5,15.8,15.8,15.8,15.8,15.8,0.15
BU04518500,8.8,8.8,8.8,8.8,8.8,14.1,14.1,14.1,14.1,14.1,0.15
BU04519000,24.5,24.5,24.5,24.5,24.5,31.5,31.5,31.5,31.5,31.5,0.15
BU04519500,40.3,40.3,40.3,40.3,40.3,17.7,17.7,17.7,17.7,17.7,0.15
BU04530500,5.1,5.1,5.1,5.1,5.1,4.5,4.5,4.5,4.5,4.5,0.15
BU04530504,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,0.15
BU04730101,3.4,3.4,3.4,3.4,3.4,1.9,1.9,1.9,1.9,1.9,0.15
BU04730102,4.3,4.3,4.3,4.3,4.3,5.4,5.4,5.4,5.4,5.4,0.15
BU04730103,7.3,7.3,7.3,7.3,7.3,8.9,8.9,8.9,8.9,8.9,0.15
BU04730104,11.8,11.8,11.8,11.8,11.8,10.2,10.2,10.2,10.2,10.2,0.15
BU04730105,3.3,3.3,3.3,3.3,3.3,4.2,4.2,4.2,4.2,4.2,0.15
BU04730106,24.6,24.6,24.6,24.6,24.6,15.2,15.2,15.2,15.2,15.2,0.15
BU04730107,14.2,14.2,14.2,14.2,14.2,6.5,6.5,6.5,6.5,6.5,0.15
BU04730201,3.1,3.1,3.1,3.1,3.1,1.5,1.5,1.5,1.5,1.5,0.15
BU04730202,13.1,13.1,13.1,13.1,13.1,9.5,9.5,9.5,9.5,9.5,0.15
BU04730203,6.5,6.5,6.5,6.5,6.5,7.1,7.1,7.1,7.1,7.1,0.15
BU04730204,13.2,13.2,13.2,13.2,13.2,6,6,6,6,6,0.15
BU04730205,8.8,8.8,8.8,8.8,8.8,10.5,10.5,10.5,10.5,10.5,0.15
BU04730206,5.5,5.5,5.5,5.5,5.5,4.3,4.3,4.3,4.3,4.3,0.15
BU04730301,14.4,14.4,14.4,14.4,14.4,9.6,9.6,9.6,9.6,9.6,0.15
BU04730401,15.4,15.4,15.4,15.4,15.4,11.1,11.1,11.1,11.1,11.1,0.15
BU04730402,44.4,44.4,44.4,44.4,44.4,12.7,12.7,12.7,12.7,12.7,0.15
BU04730403,19,19,19,19,19,10.3,10.3,10.3,10.3,10.3,0.15
BU04730404,19.9,19.9,19.9,19.9,19.9,11.9,11.9,11.9,11.9,11.9,0.15
BU04797130,38.3,38.3,38.3,38.3,38.3,26.4,26.4,26.4,26.4,26.4,0.15
BU04797230,7.2,7.2,7.2,7.2,7.2,8,8,8,8,8,0.15
BU04820101,11,11,11,11,11,6.2,6.2,6.2,6.2,6.2,0.15
BU04820102,4.9,4.9,4.9,4.9,4.9,3.6,3.6,3.6,3.6,3.6,0.15
BU04820103,7.1,7.1,7.1,7.1,7.1,7.7,7.7,7.7,7.7,7.7,0.15
BU04820104,9.4,9.4,9.4,9.4,9.4,10.8,10.8,10.8,10.8,10.8,0.15
BU04820105,6.3,6.3,6.3,6.3,6.3,4.1,4.1,4.1,4.1,4.1,0.15
BU04820201,12.1,12.1,12.1,12.1,12.1,7.6,7.6,7.6,7.6,7.6,0.15
BU04820202,5.8,5.8,5.8,5.8,5.8,7.2,7.2,7.2,7.2,7.2,0.15
BU04820203,8.5,8.5,8.5,8.5,8.5,7.3,7.3,7.3,7.3,7.3,0.15
BU04820204,33.9,33.9,33.9,33.9,33.9,30.8,30.8,30.8,30.8,30.8,0.15
BU04820205,6.8,6.8,6.8,6.8,6.8,8,8,8,8,8,0.15
BU04820206,10.3,10.3,10.3,10.3,10.3,6.7,6.7,6.7,6.7,6.7,0.15
BU04820301,6.8,6.8,6.8,6.8,6.8,9.4,9.4,9.4,9.4,9.4,0.15
BU04820302,10.1,10.1,10.1,10.1,10.1,10.4,10.4,10.4,10.4,10.4,0.15
BU04820303,7.2,7.2,7.2,7.2,7.2,7.6,7.6,7.6,7.6,7.6,0.15
BU04820304,10.6,10.6,10.6,10.6,10.6,6.1,6.1,6.1,6.1,6.1,0.15
BU04820305,5.9,5.9,5.9,5.9,5.9,8,8,8,8,8,0.15
BU04820306,7.3,7.3,7.3,7.3,7.3,7.9,7.9,7.9,7.9,7.9,0.15
BU04820307,5.1,5.1,5.1,5.1,5.1,6.4,6.4,6.4,6.4,6.4,0.15
BU04820401,5.8,5.8,5.8,5.8,5.8,6.7,6.7,6.7,6.7,6.7,0.15
BU04820402,6.1,6.1,6.1,6.1,6.1,6.8,6.8,6.8,6.8,6.8,0.15
